"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"initial_time";"initial_FR_A";"initial_FR_B";"initial_FR_C";"initial_bin";"end_time";"end_FR_A";"end_FR_B";"end_FR_C";"end_bin";"end_state"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;1,64199786229359;53,2007307383123;3,89974492294728;0,0304507095582686;1000;28,0162996577526;8,54155477370505;7,26032155764929;0,0292686760927435;0
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;17,3230289969529;30,4646372015379;4,36809136345581;0,033481442541141;1000;1,36709956552196;53,3168830553565;5,46839826208784;0,029259024732941;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;18,9687770646526;12,4278194561517;7,11329139924473;0,0305765626335923;1000;5,42475168797983;23,6136249947357;8,29667905220445;0,031337839919325;0
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;15,6566629314216;25,6199938877807;4,69699887942647;0,0351288140013667;1000;8,93927039063123;6,29059768229605;9,56005305664728;0,0302038072685409;0
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;9,63462386553564;4,81731193276782;8,83173854340767;0,0311376971417785;1000;11,6773003744821;15,8941032874895;8,27142109859149;0,0308290433965964;0
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;27,0296615511755;8,29319161229248;6,56544335973155;0,0325568264454177;1000;17,7065310171625;7,63811141916814;8,85326550858126;0,0288029315005672;0
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;25,3497239845347;20,0822488708652;5,51438800962282;0,0303750841811831;1000;15,2721504641498;5,64405560631624;8,7150858626942;0,0301201851749571;0
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;2,83973379716945;35,0233834984232;5,99499357180217;0,0316931115478884;1000;6,66896554013168;5,00172415509876;9,83672417169423;0,0299896586354307;0
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;8,33097058691106;36,0016943220085;4,4258281242965;0,0336095292954117;1000;4,35451822955375;33,4962940734904;6,95048102024925;0,029854048863018;0
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;32,8848940436227;18,8783650991168;3,95836687562126;0,0328418269667328;1000;10,4033521021887;14,9548186468963;8,65591405377419;0,0307593165026758;0
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;10,5591841455939;27,8378491111113;5,59956734993618;0,0312524145284179;1000;3,70759737605516;50,5581460371158;5,22434175716864;0,029668809431794;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;21,9418836567278;12,0525839804561;6,2967025282511;0,0323582063922894;1000;3,02418538616474;18,4811329154512;8,82054070964715;0,0297600803217086;0
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;35,2914637581603;3,52914637581603;6,09579828550042;0,0311690103742339;1000;9,84838824693654;8,61733971606948;8,61733971606948;0,0324926264050912;0
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;3,4042724216714;46,7313759702165;4,4487650965024;0,0323123376671462;1000;2,73222750664041;48,1555098045372;5,93405661598464;0,029280138570294;-1
