"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,80882352941176;3,67647058823529;1000;3000;53,2211574384693;1949,03873883256;53,2211574384693;14,119898912247;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,82352941176471;3,78676470588235;1000;3000;54,5149929283363;2669,33771173711;54,5149929283363;12,4509551749904;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,80147058823529;4,29411764705882;1000;3000;53,6102136016608;1376,10786398748;13,2370897781878;53,6102136016608;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,65441176470588;4,00735294117647;1000;3000;53,7308471344352;1839,78804825029;33,2282870436638;53,7308471344352;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,72058823529412;3,61029411764706;1000;3000;53,6536288107688;1523,21490112896;14,9415168840116;53,6536288107688;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,69852941176471;3,58088235294118;1000;3000;52,8333407142423;1907,13703671976;52,8333407142423;10,8968765223125;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,78676470588235;3,66176470588235;1000;3000;53,544967934378;1519,25197495192;53,544967934378;9,48898165925687;1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,95588235294118;3,73529411764706;1000;3000;52,6818086357897;1600,22548889348;52,6818086357897;19,8412006550377;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,77941176470588;3,70588235294118;1000;3000;52,8307566489139;1703,21920831697;52,8307566489139;15,988255301645;1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,02205882352941;3,55882352941176;1000;3000;53,1032504263533;1619,23146973109;53,1032504263533;10,755088693945;1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,86764705882353;3,94117647058824;1000;3000;53,308774122357;1661,38033776904;13,6779091498153;53,308774122357;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,96323529411765;3,79411764705882;1000;3000;52,9529561939218;1518,61310057227;52,9529561939218;20,0736696682841;1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,83088235294118;3,58823529411765;1000;3000;52,5000000000002;1527,59212886991;52,5000000000002;10,85;1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,29411764705882;3,58823529411765;1000;3000;55,0119358619475;1403,33379618312;55,0119358619475;15,4824011108475;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,71323529411765;3,55882352941176;1000;3000;52,623818547622;1733,73093210449;27,734174639963;52,623818547622;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,01470588235294;3,77205882352941;1000;3000;53,4312909476077;1439,82151698738;53,4312909476077;18,4954468664796;1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,69117647058824;3,66176470588235;1000;3000;53,3272678770174;1309,51356551384;53,3272678770174;15,6426652439251;1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,68382352941176;3,84558823529412;1000;3000;53,4457801349026;1562,62091042089;53,4457801349026;11,4017664287792;1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,80147058823529;3,44852941176471;1000;3000;52,9292922949878;1435,04271094541;52,9292922949878;20,0272997872927;1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,75;3,79411764705882;1000;3000;53,602278601097;1722,91980417595;28,4200000636689;53,602278601097;-1
